admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode, Total_pop 
Peshawar,PK21901,Peshawar,PK219,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 4,269,079 "
Phalia,PK62003,Mandi Bahauddin,PK620,Punjab,PK6,Pakistan,PK," 553,416 "
Phelawagh,PK70502,Dera Bugti,PK705,Balochistan,PK7,Pakistan,PK," 115,896 "
Pind Dadan Khan,PK61303,Jhelum,PK613,Punjab,PK6,Pakistan,PK," 336,852 "
Pindi Bhattian,PK61102,Hafizabad,PK611,Punjab,PK6,Pakistan,PK," 493,222 "
Pindi Gheb,PK60106,Attock,PK601,Punjab,PK6,Pakistan,PK," 271,594 "
Pindiali,PK23503,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 88,363 "
Piplan,PK62103,Mianwali,PK621,Punjab,PK6,Pakistan,PK," 403,938 "
Pir Baba/ Gadaizi,PK20405,Buner,PK204,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 152,975 "
Pishin,PK72503,Pishin,PK725,Balochistan,PK7,Pakistan,PK," 494,595 "
Pithoro,PK82302,Umerkot,PK823,Sindh,PK8,Pakistan,PK," 119,971 "
Prang Ghar,PK23504,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 35,290 "
Puran,PK22005,Shangla,PK220,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 108,902 "
Qasimabad,PK80402,Hyderabad,PK804,Sindh,PK8,Pakistan,PK," 304,899 "
Quaidabad,PK61603,Khushab,PK616,Punjab,PK6,Pakistan,PK," 230,320 "
Qubo Saeed Khan,PK81505,Qambar Shahdadkot,PK815,Sindh,PK8,Pakistan,PK," 85,970 "
